no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category,cluster_id
2,1,0,3300000,8300000,6,4700000,3100000,8300000,4600000,1,2.515151515151515,20700000,2.4939759036144578,1,0
4,1,1,300000,500000,14,700000,100000,800000,100000,0,1.6666666666666667,1700000,3.4,0,0
1,0,1,4800000,11600000,16,1400000,9400000,11800000,6500000,1,2.4166666666666665,29100000,2.5086206896551726,1,1
1,1,0,7500000,28300000,16,9700000,1100000,16300000,6700000,1,3.773333333333333,33800000,1.1943462897526502,2,1
2,0,0,8600000,21700000,4,5500000,10800000,30900000,6000000,0,2.5232558139534884,53200000,2.4516129032258065,0,2
4,0,0,8900000,21100000,6,4200000,200000,25800000,6200000,1,2.3707865168539324,36400000,1.7251184834123223,1,1
5,0,1,9600000,29600000,4,22900000,3500000,36600000,13200000,1,3.083333333333333,76200000,2.574324324324324,0,2
0,1,1,7700000,18100000,18,6100000,5100000,23800000,6300000,1,2.3506493506493507,41300000,2.281767955801105,2,1
3,0,1,7000000,15200000,2,10300000,12500000,20700000,4000000,1,2.1714285714285717,47500000,3.125,2,2
4,0,1,7800000,19500000,14,1900000,9000000,20400000,4400000,1,2.5,35700000,1.8307692307692307,2,1
3,1,0,5100000,11000000,6,-100000,5800000,11600000,7500000,0,2.156862745098039,24800000,2.2545454545454544,0,1
4,1,0,9400000,32600000,4,18200000,4000000,22000000,10200000,1,3.4680851063829787,54400000,1.6687116564417177,2,2
4,0,1,600000,2100000,6,1300000,1000000,2200000,300000,1,3.5,4800000,2.2857142857142856,1,0
3,1,0,5100000,13300000,4,11200000,2700000,20200000,6100000,1,2.607843137254902,40200000,3.022556390977444,1,1
2,1,1,3800000,14400000,2,2300000,1400000,7600000,2400000,0,3.789473684210526,13700000,0.9513888888888888,0,0
2,0,1,5300000,21200000,14,2200000,5000000,20900000,7700000,0,4.0,35800000,1.6886792452830188,1,1
5,0,0,1100000,3600000,12,1300000,700000,3100000,1400000,0,3.272727272727273,6500000,1.805555555555556,0,0
3,0,0,6400000,14400000,10,10600000,10000000,21200000,5100000,0,2.25,46900000,3.2569444444444446,1,1
0,0,1,5100000,14500000,14,11000000,1100000,12300000,6000000,1,2.843137254901961,30400000,2.0965517241379312,1,1
3,1,1,5300000,16900000,2,15800000,3100000,14300000,6800000,1,3.188679245283019,40000000,2.366863905325444,0,1
1,1,0,6700000,18700000,8,9300000,4100000,17100000,6900000,1,2.791044776119403,37400000,2.0,1,1
2,0,0,4000000,9400000,8,4400000,3700000,10200000,4800000,1,2.35,23100000,2.4574468085106385,2,0
2,0,1,3900000,11600000,8,5800000,3100000,12900000,5000000,1,2.9743589743589745,26800000,2.310344827586207,2,1
1,1,1,1600000,4900000,16,4300000,1100000,3900000,2000000,0,3.0625,11300000,2.306122448979592,0,0
3,1,0,2700000,7800000,14,5400000,5300000,5700000,2100000,1,2.888888888888889,18500000,2.371794871794872,2,0
3,1,0,1400000,3800000,8,1700000,200000,5300000,1500000,1,2.7142857142857144,8700000,2.289473684210526,2,0
4,0,1,8000000,19200000,18,2500000,8900000,19000000,5300000,1,2.4,35700000,1.859375,1,1
3,1,1,8200000,28900000,10,23800000,4500000,28700000,10900000,1,3.524390243902439,67900000,2.3494809688581317,1,2
5,1,1,4800000,10300000,8,4800000,6800000,11100000,4300000,1,2.145833333333333,27000000,2.621359223300971,2,1
4,1,0,8100000,19000000,6,4100000,14500000,19100000,11900000,0,2.345679012345679,49600000,2.610526315789474,0,2
4,0,0,5900000,14900000,14,2600000,9500000,16000000,3500000,1,2.5254237288135597,31600000,2.120805369127517,2,1
5,1,1,8100000,32100000,6,18200000,1800000,24100000,6500000,1,3.962962962962963,50600000,1.5763239875389408,2,2
0,1,0,1400000,5000000,8,1800000,1900000,3200000,1500000,1,3.571428571428572,8400000,1.68,1,0
1,1,0,1600000,6300000,2,3000000,600000,5200000,900000,1,3.9375,9700000,1.5396825396825398,2,0
4,1,0,4600000,9400000,18,800000,2400000,11500000,6300000,0,2.0434782608695654,21000000,2.234042553191489,1,1
1,0,0,2900000,8900000,6,900000,5600000,9700000,1800000,0,3.0689655172413794,18000000,2.02247191011236,1,0
2,1,1,8600000,24900000,20,13600000,7600000,31800000,5400000,1,2.895348837209302,58400000,2.345381526104417,1,2
4,0,0,3800000,14900000,20,6500000,3500000,12200000,2500000,0,3.9210526315789473,24700000,1.657718120805369,0,1
0,0,0,8200000,20300000,4,13100000,10200000,25900000,7800000,1,2.475609756097561,57000000,2.8078817733990147,1,2
3,1,0,3200000,10100000,20,3400000,4800000,9000000,3900000,1,3.15625,21100000,2.089108910891089,2,0
0,0,1,8100000,23800000,10,5400000,15500000,20700000,8800000,1,2.938271604938272,50400000,2.117647058823529,2,2
1,1,1,9800000,23300000,12,3200000,12600000,30500000,13900000,0,2.377551020408163,60200000,2.5836909871244638,0,2
0,0,0,200000,500000,20,500000,200000,600000,200000,1,2.5,1500000,3.0,1,0
0,0,0,6600000,14100000,20,6800000,5100000,25400000,7800000,0,2.136363636363636,45100000,3.198581560283688,0,1
0,0,0,9100000,18300000,14,6100000,9200000,34100000,10000000,0,2.010989010989011,59400000,3.2459016393442623,0,2
2,0,0,5500000,20400000,12,8800000,9400000,12300000,3300000,1,3.709090909090909,33800000,1.656862745098039,2,1
4,0,0,7200000,27400000,8,14100000,14200000,19400000,9500000,1,3.8055555555555554,57200000,2.0875912408759123,2,2
1,0,0,2400000,5600000,16,3700000,600000,7200000,3400000,0,2.333333333333333,14900000,2.6607142857142856,0,0
4,1,0,9600000,25500000,20,4000000,11400000,23800000,11100000,0,2.65625,50300000,1.9725490196078432,1,2
1,1,1,5800000,16700000,12,1100000,9700000,17200000,7500000,1,2.8793103448275863,35500000,2.125748502994012,2,1
4,0,0,2300000,6000000,8,6000000,400000,4800000,2200000,1,2.608695652173913,13400000,2.2333333333333334,1,0
1,0,0,300000,1200000,4,800000,100000,1100000,200000,1,4.0,2200000,1.8333333333333333,0,0
0,0,0,9900000,27000000,16,3500000,17300000,36900000,11500000,1,2.727272727272727,69200000,2.562962962962963,1,2
2,0,0,3500000,14000000,2,8700000,1600000,11800000,2900000,1,4.0,25000000,1.7857142857142858,0,1
2,1,0,4800000,18500000,20,5700000,5500000,14700000,5800000,1,3.8541666666666665,31700000,1.7135135135135136,1,1
2,0,0,1600000,5200000,16,300000,2900000,5600000,1600000,0,3.25,10400000,2.0,1,0
5,1,1,800000,2500000,12,500000,0,3200000,800000,0,3.125,4500000,1.8,0,0
1,1,1,9000000,33500000,18,18800000,10500000,28100000,5300000,1,3.7222222222222223,62700000,1.871641791044776,2,2
1,1,0,8300000,28900000,12,18300000,3900000,32500000,5800000,0,3.4819277108433737,60500000,2.093425605536332,1,2
4,1,0,2800000,6100000,18,2200000,4200000,8400000,2000000,0,2.1785714285714284,16800000,2.7540983606557377,0,0
1,1,1,6400000,17300000,10,10000000,1100000,15400000,8200000,1,2.703125,34700000,2.005780346820809,2,1
2,0,1,6000000,12600000,16,4800000,5300000,23900000,5100000,1,2.1,39100000,3.1031746031746037,1,1
0,1,0,2900000,9800000,16,5400000,4300000,8600000,2400000,0,3.3793103448275863,20700000,2.1122448979591835,0,0
0,1,0,6500000,24100000,20,3300000,6000000,22900000,9700000,0,3.707692307692308,41900000,1.7385892116182573,0,1
1,1,1,200000,400000,8,200000,200000,700000,300000,1,2.0,1400000,3.5,1,0
1,0,0,8400000,24600000,14,1800000,13100000,31300000,8200000,1,2.9285714285714284,54400000,2.2113821138211383,2,2
1,1,1,6100000,17800000,20,16000000,10900000,16900000,4300000,1,2.918032786885246,48100000,2.702247191011236,2,2
2,1,1,8000000,31200000,8,6800000,3500000,21000000,10300000,1,3.9,41600000,1.3333333333333333,1,2
5,0,1,900000,1800000,14,2300000,300000,1800000,700000,0,2.0,5100000,2.833333333333333,0,0
2,1,0,7300000,20000000,6,13100000,10700000,17900000,9100000,1,2.73972602739726,50800000,2.54,2,2
4,0,1,3700000,7400000,12,4800000,6800000,10500000,4400000,0,2.0,26500000,3.581081081081081,0,1
2,1,0,5200000,17200000,12,3500000,1300000,20000000,6300000,1,3.3076923076923075,31100000,1.808139534883721,1,1
1,1,0,7200000,21000000,14,3500000,11600000,21800000,4600000,0,2.9166666666666665,41500000,1.9761904761904765,0,1
0,0,1,9400000,34200000,10,13100000,15600000,32600000,6300000,0,3.638297872340425,67600000,1.976608187134503,1,2
3,0,1,3400000,12400000,2,2500000,3900000,12200000,4600000,1,3.647058823529412,23200000,1.870967741935484,2,1
0,1,0,600000,2300000,8,1800000,500000,2200000,300000,1,3.8333333333333335,4800000,2.0869565217391304,1,0
0,0,1,3300000,10000000,16,3000000,4100000,12900000,4100000,0,3.0303030303030303,24100000,2.41,0,0
2,1,1,5900000,14300000,2,11900000,4400000,16900000,4100000,0,2.4237288135593222,37300000,2.6083916083916083,0,1
3,0,0,1300000,3600000,16,2400000,2300000,3300000,1900000,1,2.769230769230769,9900000,2.75,1,0
4,1,1,5700000,16900000,4,13000000,7400000,22000000,8400000,1,2.9649122807017543,50800000,3.0059171597633134,1,2
2,0,0,7700000,27300000,16,7300000,4600000,24800000,9100000,1,3.5454545454545454,45800000,1.6776556776556777,2,2
4,0,1,7000000,23500000,18,15000000,9500000,19700000,7800000,0,3.357142857142857,52000000,2.2127659574468086,0,2
5,1,0,8100000,21900000,18,5200000,3400000,16200000,9600000,0,2.703703703703704,34400000,1.5707762557077625,0,1
1,1,1,1900000,4200000,4,4700000,2800000,7500000,900000,1,2.210526315789474,15900000,3.7857142857142856,1,0
2,1,0,4500000,9100000,18,-100000,600000,12400000,2500000,1,2.022222222222222,15400000,1.6923076923076923,1,0
0,0,1,9600000,34000000,12,23800000,10300000,38100000,7800000,1,3.5416666666666665,80000000,2.3529411764705883,2,2
1,0,1,5400000,20700000,8,1900000,800000,19000000,3600000,1,3.8333333333333335,25300000,1.2222222222222223,2,1
1,0,1,7800000,27200000,16,16100000,3400000,17100000,11400000,0,3.4871794871794872,48000000,1.7647058823529411,0,2
1,1,1,8200000,19100000,8,17200000,12200000,31500000,6600000,1,2.3292682926829267,67500000,3.534031413612565,1,2
2,1,0,8900000,28500000,6,22200000,16600000,21500000,9300000,0,3.202247191011236,69600000,2.442105263157895,0,2
1,1,0,1400000,3100000,20,200000,1200000,4200000,1800000,0,2.2142857142857144,7400000,2.3870967741935485,0,0
2,1,0,1700000,5900000,16,3100000,300000,3700000,1300000,1,3.4705882352941178,8400000,1.423728813559322,1,0
0,1,0,5300000,19500000,12,9800000,3300000,15200000,3200000,1,3.679245283018868,31500000,1.6153846153846154,2,1
3,1,0,6500000,25200000,10,15400000,10900000,14000000,8100000,1,3.876923076923077,48400000,1.9206349206349207,2,2
2,1,0,5900000,14000000,8,4700000,9500000,17800000,6700000,1,2.3728813559322037,38700000,2.7642857142857142,1,1
4,1,1,9800000,27000000,2,18700000,3000000,23000000,9700000,0,2.7551020408163267,54400000,2.0148148148148146,0,2
3,1,1,7700000,16200000,6,11500000,15100000,22500000,6400000,0,2.103896103896104,55500000,3.425925925925926,0,2
1,1,0,7900000,27100000,10,20000000,9800000,22200000,6600000,1,3.430379746835443,58600000,2.162361623616236,2,2
4,1,0,3500000,8900000,20,7100000,1500000,13700000,3200000,1,2.5428571428571427,25500000,2.865168539325843,2,0
4,0,0,2400000,6600000,2,6100000,3300000,5600000,3000000,1,2.75,18000000,2.727272727272727,2,0
5,1,0,9900000,35700000,10,7900000,4300000,39200000,13000000,0,3.606060606060606,64400000,1.803921568627451,0,2
0,1,0,3900000,14500000,8,5900000,3000000,10300000,3400000,0,3.717948717948718,22600000,1.5586206896551724,1,1
2,0,1,7300000,28500000,10,21500000,3100000,15800000,4300000,1,3.904109589041096,44700000,1.568421052631579,2,2
0,1,1,6400000,21900000,12,15400000,10100000,24000000,5300000,1,3.421875,54800000,2.502283105022831,2,2
4,1,0,7100000,19800000,18,7100000,3400000,20900000,7100000,0,2.788732394366197,38500000,1.9444444444444444,1,1
2,0,0,8800000,19000000,14,13700000,13900000,27100000,6100000,1,2.159090909090909,60800000,3.2,1,2
5,1,0,7400000,21000000,4,21300000,3800000,26400000,3900000,1,2.8378378378378377,55400000,2.638095238095238,1,2
2,0,0,4400000,12000000,20,9300000,2700000,15700000,3400000,0,2.727272727272727,31100000,2.591666666666667,0,1
3,1,1,8600000,30300000,14,12000000,4100000,23800000,9100000,0,3.5232558139534884,49000000,1.6171617161716172,0,2
3,0,0,6900000,26000000,14,14800000,4200000,18500000,3600000,1,3.768115942028986,41100000,1.5807692307692307,2,1
4,1,0,9600000,27500000,20,23400000,7500000,37800000,6300000,1,2.864583333333333,75000000,2.727272727272727,1,2
2,1,1,8100000,25700000,8,22300000,11500000,19800000,9500000,0,3.1728395061728394,63100000,2.455252918287938,0,2
0,0,0,2600000,9400000,18,2800000,1400000,5100000,2300000,1,3.615384615384616,11600000,1.2340425531914894,2,0
3,1,1,9300000,26100000,14,4700000,16100000,34500000,11600000,1,2.806451612903226,66900000,2.5632183908045976,1,2
2,0,1,2100000,5600000,16,400000,300000,7100000,1200000,0,2.6666666666666665,9000000,1.6071428571428572,0,0
4,0,1,9000000,21500000,14,16600000,17300000,24300000,13100000,0,2.388888888888889,71300000,3.316279069767442,1,2
3,0,1,7000000,19200000,4,8600000,13700000,19200000,7700000,1,2.742857142857143,49200000,2.5625,2,2
3,0,0,2200000,6400000,20,6300000,3900000,8300000,2900000,1,2.909090909090909,21400000,3.34375,1,0
5,1,1,7500000,28200000,2,8200000,5800000,24400000,6000000,1,3.76,44400000,1.574468085106383,0,1
1,1,1,8300000,16800000,2,22000000,6600000,27300000,4500000,0,2.0240963855421685,60400000,3.595238095238096,0,2
2,0,0,300000,600000,2,600000,300000,1100000,400000,0,2.0,2400000,4.0,0,0
0,0,1,300000,800000,4,800000,200000,600000,200000,1,2.6666666666666665,1800000,2.25,1,0
3,1,0,3900000,14900000,4,4700000,4000000,14900000,5500000,1,3.8205128205128207,29100000,1.953020134228188,2,1
0,0,0,6600000,20300000,6,10800000,900000,23100000,9800000,0,3.075757575757576,44600000,2.1970443349753697,1,1
0,1,0,4100000,10700000,8,11500000,700000,11200000,3100000,1,2.609756097560976,26500000,2.4766355140186915,2,1
5,1,1,1800000,5300000,12,2800000,2000000,4700000,2000000,0,2.9444444444444446,11500000,2.169811320754717,0,0
3,0,1,7000000,16100000,16,2000000,5200000,23000000,10000000,0,2.3,40200000,2.496894409937888,0,1
2,0,1,5100000,13700000,6,7800000,9800000,12700000,5100000,1,2.6862745098039214,35400000,2.583941605839416,1,1
1,0,1,300000,600000,8,600000,300000,1100000,200000,1,2.0,2200000,3.6666666666666665,2,0
4,0,1,4300000,11400000,2,10000000,3900000,8900000,3300000,1,2.6511627906976742,26100000,2.289473684210526,1,1
0,1,1,3200000,12000000,14,5200000,1400000,12100000,3400000,1,3.75,22100000,1.8416666666666663,1,0
4,0,1,4200000,11500000,6,10600000,7600000,11300000,5000000,1,2.738095238095238,34500000,3.0,1,1
0,0,1,9600000,22900000,8,4300000,14700000,33300000,7800000,0,2.3854166666666665,60100000,2.6244541484716155,1,2
4,1,0,1300000,3600000,10,3200000,1900000,2900000,1100000,1,2.769230769230769,9100000,2.5277777777777777,1,0
3,0,0,2400000,9300000,2,3100000,4400000,5200000,1500000,1,3.875,14200000,1.5268817204301075,1,0
0,1,0,600000,1600000,10,1600000,100000,1100000,300000,1,2.6666666666666665,3100000,1.9375,1,0
5,1,1,9600000,38000000,10,2100000,13600000,38200000,9400000,0,3.9583333333333335,63300000,1.6657894736842105,0,2
0,1,0,400000,1200000,4,900000,300000,1200000,300000,1,3.0,2700000,2.25,2,0
4,1,0,5900000,19900000,14,14200000,6800000,22100000,3200000,0,3.3728813559322037,46300000,2.3266331658291457,0,1
0,1,1,700000,1400000,10,1300000,200000,1700000,500000,1,2.0,3700000,2.642857142857143,1,0
0,0,1,8600000,17700000,20,22000000,0,30800000,7400000,1,2.058139534883721,60200000,3.401129943502825,2,2
0,1,1,9000000,34000000,4,2000000,8900000,20000000,12400000,1,3.7777777777777777,43300000,1.2735294117647058,1,2
3,1,1,5100000,20400000,6,1700000,2600000,11800000,7600000,1,4.0,23700000,1.161764705882353,2,1
4,0,1,500000,1500000,6,1300000,500000,1700000,200000,0,3.0,3700000,2.466666666666667,0,0
2,1,0,1600000,3800000,10,3800000,1100000,5500000,1600000,1,2.375,12000000,3.1578947368421053,2,0
0,1,1,9800000,23900000,14,1000000,13400000,21100000,7200000,0,2.438775510204082,42700000,1.786610878661088,0,2
4,1,0,7800000,29700000,20,22000000,700000,26800000,6300000,1,3.807692307692308,55800000,1.878787878787879,1,2
4,0,0,6500000,24000000,16,5600000,5100000,15600000,6700000,0,3.692307692307693,33000000,1.375,0,1
5,1,1,7500000,26500000,12,16500000,2900000,23700000,6000000,0,3.533333333333333,49100000,1.852830188679245,1,2
4,1,1,8900000,23400000,18,16500000,3100000,24900000,5800000,1,2.629213483146068,50300000,2.149572649572649,2,2
4,1,1,1800000,5800000,14,600000,3300000,3600000,2000000,0,3.2222222222222223,9500000,1.637931034482759,0,0
1,0,1,7600000,27800000,6,1300000,700000,20100000,10900000,0,3.657894736842105,33000000,1.1870503597122302,0,1
4,1,1,1200000,4600000,6,1900000,200000,4800000,1500000,1,3.8333333333333335,8400000,1.826086956521739,2,0
5,1,1,2700000,10400000,2,2800000,700000,10300000,1400000,1,3.851851851851852,15200000,1.4615384615384617,2,0
1,0,1,4600000,10900000,12,1200000,1200000,10900000,6600000,0,2.369565217391304,19900000,1.8256880733944956,0,1
2,0,0,6900000,18700000,10,12800000,5700000,21200000,5200000,1,2.710144927536232,44900000,2.4010695187165774,1,1
4,1,1,8400000,25200000,2,8100000,9300000,27700000,10500000,1,3.0,55600000,2.2063492063492065,0,2
0,1,0,300000,500000,18,300000,400000,1200000,100000,1,1.6666666666666667,2000000,4.0,2,0
2,0,1,9500000,37500000,4,10200000,16800000,34100000,12900000,1,3.947368421052632,74000000,1.9733333333333332,0,2
3,1,1,1900000,5900000,8,700000,2100000,6200000,1500000,1,3.1052631578947367,10500000,1.7796610169491525,1,0
3,0,0,4200000,14500000,20,4500000,5900000,8900000,4600000,1,3.452380952380953,23900000,1.6482758620689657,2,1
4,1,1,2200000,7900000,18,5100000,1700000,8500000,1600000,1,3.590909090909091,16900000,2.1392405063291138,2,0
5,1,1,7100000,19700000,4,7700000,12900000,23600000,5800000,1,2.7746478873239435,50000000,2.538071065989848,2,2
4,1,0,3500000,11600000,10,6300000,5200000,10300000,2300000,0,3.3142857142857145,24100000,2.077586206896552,0,1
5,0,0,400000,800000,18,900000,500000,1400000,400000,0,2.0,3200000,4.0,0,0
2,1,1,8800000,34400000,2,10500000,12500000,29300000,5900000,1,3.909090909090909,58200000,1.691860465116279,2,2
0,0,0,1800000,6600000,10,5000000,2000000,6000000,1500000,1,3.6666666666666665,14500000,2.196969696969697,2,0
1,1,1,7600000,29300000,14,13900000,4000000,30000000,9100000,1,3.8552631578947367,57000000,1.9453924914675769,1,2
1,1,1,1000000,3200000,4,2000000,1500000,2200000,1300000,1,3.2,7000000,2.1875,2,0
2,0,1,8200000,27200000,10,9200000,6400000,25500000,6000000,1,3.317073170731707,47100000,1.7316176470588236,2,2
5,0,1,3600000,12400000,8,8800000,1000000,10700000,4000000,0,3.4444444444444446,24500000,1.9758064516129032,0,1
5,1,0,9400000,23700000,18,21500000,3500000,22400000,5600000,1,2.521276595744681,53000000,2.2362869198312234,2,2
5,0,0,2600000,9100000,4,6400000,1400000,5900000,3400000,1,3.5,17100000,1.879120879120879,0,0
5,0,0,9500000,30700000,10,16300000,3700000,30300000,13100000,1,3.231578947368421,63400000,2.0651465798045603,2,2
0,1,1,3500000,11700000,14,2700000,700000,11400000,4800000,1,3.342857142857143,19600000,1.6752136752136753,1,0
5,0,1,9800000,35700000,10,9400000,18900000,31200000,12000000,1,3.642857142857143,71500000,2.0028011204481797,2,2
4,1,0,800000,3100000,18,400000,700000,1900000,1100000,1,3.875,4100000,1.3225806451612905,2,0
0,0,0,9700000,37300000,20,12100000,16200000,24100000,10500000,1,3.845360824742268,62900000,1.6863270777479893,2,2
3,1,0,6200000,21300000,12,6500000,11600000,19200000,5000000,1,3.435483870967742,42300000,1.9859154929577465,1,1
1,0,1,4400000,16600000,18,800000,5300000,13400000,5100000,0,3.772727272727273,24600000,1.4819277108433735,0,1
2,1,0,1800000,3800000,4,5100000,2700000,4600000,1400000,1,2.111111111111111,13800000,3.631578947368421,2,0
3,1,0,1700000,5300000,14,300000,700000,4500000,800000,1,3.117647058823529,6300000,1.1886792452830188,1,0
3,1,0,3900000,14100000,16,2500000,2200000,13700000,2900000,0,3.615384615384616,21300000,1.5106382978723405,0,1
2,1,1,2200000,7900000,6,3400000,1800000,8600000,2400000,1,3.590909090909091,16200000,2.050632911392405,1,0
3,0,1,6300000,17700000,2,16800000,900000,16400000,5300000,0,2.8095238095238093,39400000,2.225988700564972,1,1
2,0,0,2200000,8700000,18,3900000,3300000,7600000,1300000,1,3.954545454545455,16100000,1.8505747126436785,2,0
1,1,0,8100000,28400000,6,20300000,10500000,21800000,7700000,1,3.506172839506173,60300000,2.1232394366197185,2,2
4,0,0,6800000,17000000,2,18000000,3800000,27100000,9400000,1,2.5,58300000,3.429411764705882,2,2
0,1,0,4700000,14800000,20,12300000,5000000,15400000,3700000,1,3.148936170212766,36400000,2.45945945945946,2,1
3,1,1,2200000,5300000,2,1600000,1700000,5800000,2800000,0,2.409090909090909,11900000,2.2452830188679247,1,0
3,1,1,3500000,13000000,6,6100000,3500000,13300000,4300000,0,3.7142857142857135,27200000,2.0923076923076924,0,1
1,0,1,3500000,11600000,10,3100000,2700000,9000000,4500000,1,3.3142857142857145,19300000,1.6637931034482758,2,0
5,0,0,500000,1500000,12,100000,600000,1100000,200000,0,3.0,2000000,1.3333333333333333,1,0
5,0,0,9900000,35800000,20,9500000,18400000,39100000,14700000,0,3.616161616161616,81700000,2.282122905027933,0,2
1,1,0,8400000,25000000,12,5300000,14900000,23000000,7700000,1,2.9761904761904763,50900000,2.036,1,2
1,1,0,5000000,18800000,14,13100000,5700000,12800000,4300000,0,3.76,35900000,1.9095744680851063,0,1
4,0,1,5500000,13400000,10,300000,800000,19900000,2800000,1,2.4363636363636365,23800000,1.7761194029850746,2,1
5,1,1,3000000,11900000,14,6000000,4800000,11700000,4200000,0,3.966666666666667,26700000,2.2436974789915967,0,1
3,0,1,9400000,21400000,10,5100000,15500000,29600000,11300000,0,2.276595744680851,61500000,2.8738317757009346,0,2
4,1,0,7600000,29000000,8,22100000,8100000,22100000,8800000,1,3.8157894736842106,61100000,2.106896551724138,2,2
0,0,1,5500000,16300000,10,11900000,1500000,11900000,6200000,1,2.963636363636364,31500000,1.9325153374233128,2,1
1,1,0,3100000,7400000,18,8400000,1200000,9200000,4500000,0,2.3870967741935485,23300000,3.1486486486486487,0,0
3,1,0,7700000,27700000,4,13900000,7500000,27100000,6200000,1,3.5974025974025974,54700000,1.9747292418772564,0,2
2,1,0,9800000,25400000,2,19900000,4600000,21300000,7900000,1,2.591836734693877,53700000,2.1141732283464565,1,2
3,0,0,3200000,9200000,14,3300000,1100000,7200000,4500000,0,2.875,16100000,1.75,0,0
2,1,0,700000,2600000,20,100000,200000,2400000,900000,0,3.7142857142857135,3600000,1.3846153846153846,0,0
4,0,1,3100000,8600000,14,3100000,3800000,9900000,3700000,0,2.774193548387097,20500000,2.383720930232558,0,0
0,1,1,4500000,10500000,20,9800000,2000000,9600000,5800000,0,2.333333333333333,27200000,2.5904761904761906,0,1
5,0,1,8900000,24800000,18,16200000,5000000,20000000,8100000,1,2.7865168539325844,49300000,1.9879032258064515,2,2
3,0,0,5900000,23200000,2,15500000,10000000,21100000,6300000,1,3.9322033898305087,52900000,2.280172413793104,0,2
2,0,0,1500000,4500000,18,4500000,1200000,5600000,1100000,0,3.0,12400000,2.7555555555555555,0,0
4,0,1,6300000,15200000,16,15500000,1800000,20700000,7900000,0,2.412698412698413,45900000,3.0197368421052637,0,1
3,0,1,6500000,18200000,20,10400000,2800000,21300000,6700000,0,2.8,41200000,2.263736263736264,0,1
4,1,0,8000000,31500000,18,10300000,7900000,30100000,9600000,1,3.9375,57900000,1.838095238095238,1,2
1,1,1,3300000,10600000,14,300000,600000,8400000,4500000,1,3.212121212121212,13800000,1.30188679245283,2,0
4,0,0,3900000,10000000,10,10900000,200000,12300000,1900000,0,2.5641025641025643,25300000,2.53,1,0
3,1,0,1600000,3500000,10,4500000,2200000,5200000,1600000,1,2.1875,13500000,3.857142857142857,2,0
2,0,1,3900000,13900000,18,5000000,5600000,9900000,2100000,1,3.5641025641025643,22600000,1.6258992805755397,2,1
3,1,1,8000000,26300000,12,21700000,6600000,16400000,9000000,0,3.2875,53700000,2.041825095057034,0,2
2,1,0,2200000,4800000,6,1800000,100000,6900000,2200000,1,2.1818181818181817,11000000,2.2916666666666665,2,0
4,0,0,7600000,30300000,12,20400000,8000000,22200000,5800000,0,3.986842105263158,56400000,1.8613861386138613,0,2
5,0,1,2700000,6800000,6,4500000,2000000,8200000,1700000,0,2.5185185185185186,16400000,2.411764705882353,0,0
2,1,1,6300000,23200000,12,7000000,8300000,24200000,5300000,1,3.6825396825396814,44800000,1.9310344827586208,1,1
3,0,0,7700000,18700000,8,15100000,5600000,24600000,10200000,0,2.4285714285714284,55500000,2.9679144385026737,0,2
2,1,0,4500000,17200000,18,4100000,6300000,13800000,3300000,0,3.8222222222222224,27500000,1.5988372093023255,0,1
2,1,1,9400000,24800000,14,24200000,18200000,37200000,7500000,0,2.6382978723404253,87100000,3.5120967741935485,1,2
0,0,0,4600000,12600000,16,3400000,6200000,15100000,3600000,1,2.739130434782609,28300000,2.246031746031746,1,1
0,1,1,5200000,15700000,6,3800000,7000000,12800000,5500000,1,3.019230769230769,29100000,1.853503184713376,1,1
5,1,1,8000000,29800000,18,17700000,14100000,22800000,9200000,1,3.725,63800000,2.140939597315436,2,2
1,0,1,9900000,38500000,2,19600000,2900000,20200000,6500000,1,3.888888888888889,49200000,1.277922077922078,2,2
4,1,1,8500000,18600000,10,16600000,3200000,21000000,11600000,1,2.1882352941176477,52400000,2.817204301075269,1,2
2,1,1,4900000,12000000,20,14200000,8100000,18300000,4800000,0,2.4489795918367347,45400000,3.783333333333333,1,1
3,1,1,7000000,24200000,2,18200000,7000000,15900000,7900000,1,3.4571428571428573,49000000,2.024793388429752,0,2
2,0,0,9600000,25900000,18,11800000,9900000,35600000,11500000,1,2.6979166666666665,68800000,2.6563706563706564,1,2
1,1,0,9700000,23700000,6,11500000,14400000,38100000,10400000,1,2.443298969072165,74400000,3.1392405063291138,2,2
1,1,0,6200000,14300000,20,7500000,11700000,16700000,4300000,1,2.306451612903226,40200000,2.8111888111888117,2,1
4,0,1,4100000,9600000,10,11900000,7100000,14100000,4900000,0,2.341463414634146,38000000,3.9583333333333335,1,1
0,1,1,6100000,19900000,20,4500000,3700000,12700000,7100000,1,3.262295081967213,28000000,1.407035175879397,2,1
0,1,0,700000,1900000,18,1400000,1000000,2000000,300000,1,2.7142857142857144,4700000,2.473684210526316,1,0
3,1,0,6400000,24100000,12,19000000,11500000,13200000,7500000,1,3.765625,51200000,2.12448132780083,1,2
4,1,1,3800000,7800000,20,4600000,7000000,14300000,3300000,1,2.0526315789473686,29200000,3.743589743589744,2,1
1,0,0,4900000,14800000,12,8600000,8200000,18300000,5200000,1,3.020408163265306,40300000,2.722972972972973,2,1
2,1,0,2100000,6600000,20,3800000,4100000,6200000,2100000,1,3.142857142857143,16200000,2.4545454545454546,1,0
