no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category
2,0,1,2400000,5400000,12,739,300000,2500000,5000000,3000000,1,2.25,10800000,2.0,2
5,1,1,9800000,30300000,6,867,20800000,16000000,30200000,7600000,1,3.0918367346938775,74600000,2.462046204620462,2
2,0,0,8100000,24800000,6,307,200000,4000000,31100000,10500000,0,3.0617283950617282,45800000,1.846774193548387,0
3,1,0,6700000,15500000,18,492,2100000,2000000,26300000,9400000,0,2.3134328358208953,39800000,2.567741935483871,0
1,0,1,8400000,24700000,18,698,23000000,13200000,32700000,12200000,1,2.9404761904761907,81100000,3.283400809716599,1
2,1,0,200000,700000,8,851,400000,200000,800000,200000,1,3.5,1600000,2.2857142857142856,2
2,1,0,4700000,12500000,14,375,1300000,6300000,10100000,5400000,0,2.6595744680851063,23100000,1.848,0
0,1,1,4300000,14300000,14,601,3800000,900000,16700000,5700000,1,3.3255813953488373,27100000,1.8951048951048952,1
4,0,0,2200000,7000000,20,756,3600000,3900000,5700000,1200000,1,3.1818181818181817,14400000,2.057142857142857,2
4,1,1,8600000,19200000,4,868,20400000,1500000,32800000,9300000,1,2.2325581395348837,64000000,3.3333333333333335,2
4,1,1,2000000,7200000,10,838,2500000,300000,7600000,1000000,1,3.6,11400000,1.5833333333333333,2
4,0,1,4200000,15900000,14,375,7200000,7900000,16200000,3000000,0,3.7857142857142856,34300000,2.157232704402516,0
0,0,1,5100000,12500000,18,778,3300000,1000000,14800000,3200000,1,2.450980392156863,22300000,1.784,2
2,1,1,4100000,11200000,6,442,12200000,4100000,10000000,4500000,0,2.731707317073171,30800000,2.75,0
1,1,1,9900000,39500000,12,808,11800000,3700000,30200000,13500000,1,3.98989898989899,59200000,1.4987341772151899,2
1,0,1,3200000,9000000,20,372,2700000,2800000,7200000,3800000,0,2.8125,16500000,1.8333333333333333,0
2,1,0,5500000,19000000,4,597,1100000,4000000,18700000,5300000,1,3.4545454545454546,29100000,1.5315789473684212,1
0,1,1,7800000,29100000,20,435,21100000,13000000,17300000,9700000,0,3.730769230769231,61100000,2.0996563573883162,0
3,1,1,3400000,9700000,20,728,1500000,1500000,7300000,2400000,1,2.8529411764705883,12700000,1.309278350515464,2
4,1,1,7900000,25900000,14,373,10900000,14300000,27700000,7600000,0,3.278481012658228,60500000,2.335907335907336,0
3,1,1,8900000,18500000,10,367,6100000,0,32000000,10300000,0,2.0786516853932584,48400000,2.616216216216216,0
2,1,0,7300000,19100000,14,552,2000000,13400000,16800000,4000000,1,2.6164383561643834,36200000,1.8952879581151831,1
4,0,1,3300000,10600000,8,465,500000,4400000,7300000,2800000,0,3.212121212121212,15000000,1.4150943396226414,0
4,1,1,2900000,10500000,8,607,4400000,5500000,7600000,3800000,1,3.6206896551724137,21300000,2.0285714285714285,1
2,1,1,500000,1300000,4,427,1400000,500000,1800000,600000,0,2.6,4300000,3.3076923076923075,0
3,0,0,7200000,21200000,4,711,10800000,4200000,24900000,5700000,1,2.9444444444444446,45600000,2.150943396226415,2
3,0,0,8300000,24100000,14,823,5900000,700000,24000000,7700000,1,2.9036144578313254,38300000,1.5892116182572613,2
1,0,1,8700000,20500000,6,523,19300000,6500000,23700000,4800000,0,2.3563218390804597,54300000,2.648780487804878,1
4,0,1,7100000,27900000,10,328,9000000,13400000,26500000,7700000,0,3.9295774647887325,56600000,2.028673835125448,0
3,1,1,9800000,28200000,12,721,15800000,6500000,21900000,9600000,1,2.877551020408163,53800000,1.9078014184397163,2
0,1,1,6900000,17000000,20,599,18100000,9400000,26600000,4300000,1,2.463768115942029,58400000,3.4352941176470586,1
0,0,0,2400000,5000000,14,580,5900000,4400000,5500000,3200000,1,2.0833333333333335,19000000,3.8,1
1,0,1,2100000,4900000,10,744,200000,2000000,5400000,1000000,1,2.3333333333333335,8600000,1.7551020408163265,2
2,1,1,7200000,23900000,4,559,4200000,12200000,17800000,10800000,1,3.3194444444444446,45000000,1.8828451882845187,1
2,1,0,4600000,13500000,16,587,7700000,5900000,10600000,5000000,1,2.9347826086956523,29200000,2.162962962962963,1
5,1,1,9900000,31800000,18,817,23400000,700000,32600000,11500000,1,3.212121212121212,68200000,2.1446540880503147,2
4,0,1,300000,1000000,20,655,0,100000,1100000,400000,1,3.3333333333333335,1600000,1.6,1
5,1,1,6900000,23900000,6,382,17100000,6900000,21500000,8900000,0,3.463768115942029,54400000,2.276150627615063,0
2,1,1,1700000,4300000,6,765,5000000,1500000,3400000,900000,1,2.5294117647058822,10800000,2.511627906976744,2
2,1,1,4400000,10000000,20,516,7400000,7600000,12200000,5100000,0,2.272727272727273,32300000,3.23,1
4,0,1,4300000,15000000,8,383,4700000,100000,9000000,4900000,0,3.488372093023256,18700000,1.2466666666666666,0
2,0,0,3700000,14100000,6,633,800000,200000,11300000,3400000,1,3.810810810810811,15700000,1.1134751773049645,1
1,1,0,5900000,15200000,2,547,17100000,2000000,14700000,3600000,0,2.5762711864406778,37400000,2.460526315789474,1
5,0,1,8600000,26300000,10,843,23300000,9800000,18100000,11300000,1,3.058139534883721,62500000,2.376425855513308,2
3,0,1,3400000,13200000,8,783,6500000,300000,13000000,4900000,1,3.8823529411764706,24700000,1.871212121212121,2
3,0,1,1000000,3200000,14,790,1900000,100000,3600000,1100000,1,3.2,6700000,2.09375,2
1,0,1,4400000,14200000,16,409,12700000,1300000,12600000,4500000,0,3.227272727272727,31100000,2.1901408450704225,0
0,0,0,3600000,7800000,14,376,9800000,6900000,11900000,3000000,0,2.1666666666666665,31600000,4.051282051282051,0
3,0,0,1400000,2700000,8,625,3100000,1800000,3400000,1000000,1,1.9285714285714286,9300000,3.4444444444444446,1
0,0,0,5300000,10900000,18,707,12900000,2600000,12700000,7600000,1,2.056603773584906,35800000,3.2844036697247705,2
3,1,1,9400000,20500000,6,645,17400000,13000000,24500000,10200000,1,2.1808510638297873,65100000,3.175609756097561,1
4,0,1,6600000,22100000,6,887,3600000,3500000,19800000,4700000,1,3.3484848484848486,31600000,1.4298642533936652,2
5,1,0,9800000,37600000,18,319,19200000,5100000,19900000,5100000,0,3.836734693877551,49300000,1.3111702127659575,0
1,0,0,1900000,4900000,20,647,4100000,2100000,6800000,1700000,1,2.5789473684210527,14700000,3.0,1
2,0,1,5800000,22500000,6,888,11900000,2600000,17100000,4800000,1,3.8793103448275863,36400000,1.6177777777777778,2
2,0,0,3100000,10400000,10,420,6900000,5900000,10000000,3500000,0,3.3548387096774195,26300000,2.5288461538461537,0
0,1,0,6800000,18400000,2,791,4000000,900000,20200000,9900000,1,2.7058823529411766,35000000,1.9021739130434783,2
5,0,0,4600000,16200000,12,891,5900000,1200000,10800000,3700000,1,3.5217391304347827,21600000,1.3333333333333333,2
2,0,1,200000,700000,16,641,600000,200000,600000,100000,1,3.5,1500000,2.142857142857143,1
3,0,1,9500000,22800000,6,319,200000,18800000,34100000,9400000,0,2.4,62500000,2.741228070175439,0
5,0,1,6200000,22200000,20,819,13500000,6600000,21700000,8700000,1,3.5806451612903225,50500000,2.274774774774775,2
4,0,1,9700000,32300000,18,387,11600000,14300000,20000000,5400000,0,3.329896907216495,51300000,1.588235294117647,0
5,1,1,4200000,12300000,2,686,10500000,200000,15600000,4200000,1,2.9285714285714284,30500000,2.4796747967479673,1
1,1,1,5700000,12000000,4,415,15700000,900000,17300000,7400000,0,2.1052631578947367,41300000,3.441666666666667,0
2,1,1,200000,500000,6,885,0,0,300000,200000,0,2.5,500000,1.0,2
4,1,0,8000000,25500000,4,722,17200000,13900000,26200000,4900000,1,3.1875,62200000,2.43921568627451,2
4,1,0,5200000,20400000,20,761,4700000,1600000,14300000,6200000,1,3.923076923076923,26800000,1.3137254901960784,2
1,1,1,7100000,15200000,8,389,5900000,900000,24300000,5900000,0,2.140845070422535,37000000,2.4342105263157894,0
1,1,1,9300000,27900000,12,600,2100000,4200000,29000000,6600000,1,3.0,41900000,1.5017921146953406,1
5,1,0,2000000,6100000,2,407,1900000,1900000,4600000,2000000,1,3.05,10400000,1.7049180327868851,0
3,1,1,3900000,14000000,18,829,5200000,4000000,11600000,2700000,1,3.58974358974359,23500000,1.6785714285714286,2
2,0,0,2800000,5900000,6,895,1000000,3900000,10900000,1500000,1,2.107142857142857,17300000,2.9322033898305087,2
5,1,1,3000000,11100000,12,441,8500000,2500000,7300000,2000000,0,3.7,20300000,1.8288288288288288,0
4,0,0,4500000,9800000,16,895,9800000,8200000,13900000,5500000,1,2.1777777777777776,37400000,3.816326530612245,2
4,1,0,1900000,4300000,4,826,2400000,0,7000000,900000,1,2.263157894736842,10300000,2.395348837209302,2
1,1,0,2300000,7200000,8,453,3000000,2100000,8100000,3400000,0,3.130434782608696,16600000,2.3055555555555554,0
0,1,0,4700000,17500000,2,701,5400000,2300000,11700000,7000000,1,3.723404255319149,26400000,1.5085714285714287,2
2,0,1,1300000,2700000,8,627,100000,300000,2600000,1300000,1,2.076923076923077,4300000,1.5925925925925926,1
3,1,0,3100000,11000000,2,543,5900000,2200000,9000000,2400000,1,3.5483870967741935,19500000,1.7727272727272727,1
0,1,0,8400000,17500000,18,411,13200000,5300000,31300000,10400000,0,2.0833333333333335,60200000,3.44,0
5,1,1,1700000,5800000,4,583,2000000,1800000,6000000,2300000,1,3.411764705882353,12100000,2.086206896551724,1
2,0,0,1900000,7500000,2,889,600000,1100000,7100000,2600000,1,3.9473684210526314,11400000,1.52,2
3,0,0,2400000,8600000,8,684,3400000,2400000,6200000,1600000,1,3.5833333333333335,13600000,1.5813953488372092,1
5,1,0,6800000,20500000,10,578,500000,11800000,27200000,3400000,1,3.014705882352941,42900000,2.0926829268292684,1
1,1,0,2900000,10900000,20,445,6600000,2800000,9300000,2600000,0,3.7586206896551726,21300000,1.9541284403669725,0
4,1,1,8900000,26300000,10,369,23900000,7000000,27400000,12100000,0,2.955056179775281,70400000,2.67680608365019,0
1,0,0,8800000,22200000,18,794,8400000,11900000,21000000,10500000,1,2.522727272727273,51800000,2.3333333333333335,2
0,1,1,8200000,19200000,16,492,16500000,9200000,20000000,7200000,0,2.341463414634146,52900000,2.7552083333333335,0
3,0,1,3600000,13200000,16,557,9800000,4000000,9900000,2100000,1,3.6666666666666665,25800000,1.9545454545454546,1
4,1,1,9500000,31800000,6,519,5900000,1300000,28400000,12200000,0,3.3473684210526318,47800000,1.5031446540880504,1
0,0,1,1900000,5700000,18,699,5500000,200000,6500000,2000000,1,3.0,14200000,2.491228070175439,1
3,0,1,9100000,24600000,2,741,8000000,4000000,35500000,13600000,1,2.7032967032967035,61100000,2.483739837398374,2
5,1,0,1100000,3800000,18,508,200000,1800000,2300000,900000,0,3.4545454545454546,5200000,1.368421052631579,1
5,0,1,1100000,2800000,10,647,2700000,2000000,4300000,1400000,1,2.5454545454545454,10400000,3.7142857142857144,1
1,1,0,9300000,28600000,14,656,17300000,9100000,27400000,12500000,1,3.075268817204301,66300000,2.3181818181818183,1
4,1,1,3900000,10600000,2,439,300000,7600000,14800000,2500000,0,2.717948717948718,25200000,2.3773584905660377,0
5,0,1,1500000,4000000,12,350,2900000,1900000,4400000,1200000,0,2.6666666666666665,10400000,2.6,0
5,1,0,800000,2200000,6,493,900000,500000,2800000,1000000,0,2.75,5200000,2.3636363636363638,0
4,1,0,600000,1800000,6,851,100000,1100000,2100000,800000,1,3.0,4100000,2.2777777777777777,2
2,1,0,4400000,12500000,18,492,7900000,1200000,10100000,2700000,0,2.840909090909091,21900000,1.752,0
4,1,1,2700000,5400000,6,861,6300000,2400000,6700000,2700000,1,2.0,18100000,3.3518518518518516,2
3,0,1,6200000,14600000,2,664,18300000,8400000,16800000,6600000,1,2.3548387096774195,50100000,3.4315068493150687,1
5,1,1,700000,1300000,16,362,2100000,1300000,2000000,1000000,0,1.8571428571428572,6400000,4.923076923076923,0
0,1,0,3400000,9400000,6,703,600000,6000000,8600000,2600000,1,2.764705882352941,17800000,1.8936170212765957,2
1,0,1,4900000,16800000,12,758,1700000,2700000,11100000,5900000,1,3.4285714285714284,21400000,1.2738095238095237,2
3,0,1,4200000,9700000,2,396,700000,8200000,8600000,4300000,0,2.3095238095238093,21800000,2.247422680412371,0
0,1,1,5300000,10600000,2,828,8100000,6700000,17400000,5800000,1,2.0,38000000,3.5849056603773586,2
5,1,1,3700000,10000000,20,709,8000000,800000,12000000,2200000,1,2.7027027027027026,23000000,2.3,2
4,0,1,5600000,17500000,10,528,14200000,2300000,12100000,7200000,0,3.125,35800000,2.045714285714286,1
2,1,1,4300000,16000000,14,623,9800000,6700000,17000000,4500000,1,3.7209302325581395,38000000,2.375,1
4,0,1,7100000,24500000,14,599,9100000,7000000,20400000,6800000,1,3.4507042253521125,43300000,1.7673469387755103,1
4,1,1,5400000,12700000,4,622,11000000,3300000,15100000,6500000,1,2.3518518518518516,35900000,2.826771653543307,1
0,0,0,6000000,13100000,6,385,16600000,7600000,22000000,7400000,0,2.183333333333333,53600000,4.091603053435114,0
4,1,1,4100000,12500000,2,579,10900000,7200000,12200000,2000000,1,3.048780487804878,32300000,2.584,1
4,0,0,8300000,17900000,20,846,12700000,1300000,26800000,12200000,1,2.1566265060240966,53000000,2.9608938547486034,2
3,1,0,8100000,23900000,10,449,7100000,6100000,28300000,8900000,0,2.950617283950617,50400000,2.1087866108786613,0
1,0,0,7200000,24900000,14,666,3600000,11600000,16600000,5800000,1,3.4583333333333335,37600000,1.5100401606425702,1
5,1,0,7200000,17500000,4,380,2300000,400000,17500000,6200000,0,2.4305555555555554,26400000,1.5085714285714287,0
2,1,1,3500000,8100000,4,589,3800000,6700000,12500000,2700000,1,2.3142857142857145,25700000,3.1728395061728394,1
1,1,0,6200000,19500000,12,845,9100000,2900000,15300000,4000000,1,3.1451612903225805,31300000,1.6051282051282052,2
3,0,0,5200000,17300000,10,401,2600000,1400000,12700000,6400000,0,3.326923076923077,23100000,1.3352601156069364,0
0,0,0,4500000,14500000,2,766,6100000,8400000,17200000,6600000,1,3.2222222222222223,38300000,2.6413793103448278,2
5,0,0,5400000,15100000,12,522,5200000,4700000,13900000,5700000,0,2.7962962962962963,29500000,1.9536423841059603,1
3,0,1,2000000,6900000,6,834,2200000,2800000,6400000,3000000,1,3.45,14400000,2.0869565217391304,2
3,1,0,8900000,25400000,8,588,19400000,12100000,18800000,4500000,1,2.853932584269663,54800000,2.15748031496063,1
2,1,0,5000000,10600000,4,570,11900000,900000,14800000,7100000,1,2.12,34700000,3.2735849056603774,1
2,1,0,4900000,17600000,6,860,13600000,7500000,12700000,5600000,1,3.5918367346938775,39400000,2.2386363636363638,2
4,1,1,5300000,19200000,4,655,14200000,6900000,17800000,3900000,1,3.6226415094339623,42800000,2.2291666666666665,1
3,0,1,8500000,27700000,4,457,3600000,400000,18900000,5200000,1,3.2588235294117647,28100000,1.0144404332129964,0
5,1,1,700000,2100000,14,863,100000,1200000,2700000,600000,1,3.0,4600000,2.1904761904761907,2
3,0,1,5900000,18900000,4,742,10800000,4500000,23200000,8000000,1,3.2033898305084745,46500000,2.4603174603174605,2
3,1,0,3500000,13300000,4,798,7400000,5300000,12100000,3600000,1,3.8,28400000,2.1353383458646618,2
5,0,1,7700000,18900000,16,552,15600000,6100000,23900000,6600000,1,2.4545454545454546,52200000,2.761904761904762,1
2,0,1,4500000,12500000,12,418,400000,4300000,12400000,4300000,0,2.7777777777777777,21400000,1.712,0
0,1,0,9100000,22200000,6,419,7400000,600000,18200000,9800000,0,2.4395604395604398,36000000,1.6216216216216217,0
1,0,1,9000000,29900000,2,668,22100000,7200000,24400000,4700000,1,3.3222222222222224,58400000,1.9531772575250836,1
2,0,0,8900000,29200000,8,608,10800000,5200000,33500000,11700000,1,3.2808988764044944,61200000,2.095890410958904,1
5,0,0,6500000,13800000,10,342,15300000,2300000,14400000,7300000,0,2.123076923076923,39300000,2.847826086956522,0
4,0,1,8100000,18000000,8,817,1400000,7800000,16900000,10800000,1,2.2222222222222223,36900000,2.05,2
1,0,0,8400000,29900000,16,476,16100000,2400000,32700000,7500000,0,3.5595238095238093,58700000,1.9632107023411371,0
0,0,0,5300000,20000000,6,881,15900000,3700000,19500000,4000000,1,3.7735849056603774,43100000,2.155,2
2,1,0,4100000,15600000,12,838,5500000,4800000,15100000,2700000,1,3.8048780487804876,28100000,1.8012820512820513,2
3,0,0,6900000,27400000,4,406,10200000,6500000,23900000,5300000,1,3.971014492753623,45900000,1.6751824817518248,0
1,1,1,5200000,19500000,12,778,5200000,4300000,19900000,5800000,1,3.75,35200000,1.8051282051282052,2
5,0,1,2000000,7400000,14,799,3600000,3700000,4300000,1100000,1,3.7,12700000,1.7162162162162162,2
3,1,0,4600000,17800000,20,716,12600000,2600000,10800000,4500000,1,3.869565217391304,30500000,1.7134831460674158,2
0,1,1,7100000,20100000,16,756,8000000,5000000,17600000,5400000,1,2.8309859154929575,36000000,1.791044776119403,2
0,0,0,9300000,20100000,10,743,4800000,1800000,21900000,13600000,1,2.161290322580645,42100000,2.0945273631840795,2
3,0,0,5400000,19400000,20,731,13800000,3200000,20000000,4300000,1,3.5925925925925926,41300000,2.1288659793814433,2
3,0,0,4100000,8500000,2,833,12000000,0,16200000,3400000,1,2.073170731707317,31600000,3.7176470588235295,2
4,0,0,4900000,11400000,8,470,12000000,7500000,14700000,4800000,0,2.326530612244898,39000000,3.4210526315789473,0
5,1,1,5400000,21200000,20,734,7300000,1800000,11500000,7500000,1,3.925925925925926,28100000,1.3254716981132075,2
0,1,0,3000000,9600000,12,620,7900000,0,8600000,3600000,1,3.2,20100000,2.09375,1
0,0,1,6800000,14400000,8,812,15200000,4500000,21100000,6400000,1,2.1176470588235294,47200000,3.2777777777777777,2
4,1,1,5100000,14000000,12,459,9800000,0,10400000,6800000,0,2.7450980392156863,27000000,1.9285714285714286,0
0,1,1,9800000,32600000,10,704,7000000,12100000,30000000,4900000,1,3.326530612244898,54000000,1.656441717791411,2
1,1,1,1600000,4100000,6,391,4300000,1400000,5700000,700000,0,2.5625,12100000,2.951219512195122,0
4,1,0,8000000,29100000,4,421,3100000,12000000,27000000,8800000,1,3.6375,50900000,1.7491408934707904,0
5,1,0,2900000,6700000,14,796,3800000,3700000,9700000,4200000,1,2.310344827586207,21400000,3.1940298507462686,2
4,1,0,9200000,30300000,10,607,24000000,16600000,29600000,8900000,1,3.2934782608695654,79100000,2.6105610561056105,1
3,0,0,9500000,20400000,14,376,2300000,6600000,25900000,8400000,0,2.1473684210526316,43200000,2.1176470588235294,0
0,1,1,3700000,8500000,8,424,1900000,5600000,14800000,4100000,0,2.2972972972972974,26400000,3.1058823529411765,0
5,1,1,7100000,20800000,6,442,2900000,7100000,28200000,7100000,0,2.9295774647887325,45300000,2.1778846153846154,0
5,0,0,5600000,17600000,14,448,6700000,3500000,18900000,6800000,0,3.142857142857143,35900000,2.039772727272727,0
0,1,1,1200000,2700000,2,638,1500000,500000,2700000,1500000,1,2.25,6200000,2.2962962962962963,1
3,0,0,1600000,5600000,6,710,3100000,800000,6000000,1600000,1,3.5,11500000,2.0535714285714284,2
4,0,1,1600000,4800000,20,641,4200000,1000000,4100000,1400000,1,3.0,10700000,2.2291666666666665,1
2,0,0,5300000,20200000,10,348,9200000,9500000,17300000,6100000,0,3.811320754716981,42100000,2.0841584158415842,0
5,0,0,9100000,19900000,20,519,9300000,16400000,28900000,10500000,0,2.1868131868131866,65100000,3.271356783919598,1
4,0,1,9400000,35000000,10,517,10700000,15100000,27500000,6700000,0,3.723404255319149,60000000,1.7142857142857142,1
3,0,0,5900000,22400000,6,375,6500000,10500000,18100000,4800000,0,3.7966101694915255,39900000,1.78125,0
2,1,1,1100000,3400000,10,426,300000,800000,3900000,1400000,0,3.090909090909091,6400000,1.8823529411764706,0
4,1,1,3100000,11500000,14,785,3200000,3100000,9100000,4200000,1,3.7096774193548385,19600000,1.7043478260869565,2
4,0,0,2200000,8600000,20,373,4100000,1300000,5900000,1400000,0,3.909090909090909,12700000,1.4767441860465116,0
1,1,0,6000000,20100000,6,476,13900000,10000000,15200000,5500000,0,3.35,44600000,2.218905472636816,0
1,1,1,2000000,5600000,18,320,2400000,2300000,4600000,2100000,0,2.8,11400000,2.0357142857142856,0
4,1,0,7200000,22900000,18,657,14600000,400000,17400000,8800000,1,3.1805555555555554,41200000,1.7991266375545851,1
1,0,1,500000,1900000,12,868,200000,500000,1800000,300000,1,3.8,2800000,1.4736842105263157,2
1,0,1,5800000,13900000,6,345,4000000,9300000,20900000,5500000,0,2.396551724137931,39700000,2.856115107913669,0
0,0,0,200000,300000,6,472,400000,100000,700000,0,0,1.5,1200000,4.0,0
4,0,1,4600000,9500000,20,613,5200000,5900000,13700000,3000000,1,2.0652173913043477,27800000,2.9263157894736844,1
5,0,1,4600000,12800000,14,769,13100000,8600000,12100000,3500000,1,2.782608695652174,37300000,2.9140625,2
1,1,0,6500000,23100000,20,741,11400000,8500000,25700000,7900000,1,3.5538461538461537,53500000,2.316017316017316,2
4,0,1,4400000,16600000,14,889,800000,1400000,14900000,5900000,1,3.772727272727273,23000000,1.3855421686746987,2
0,0,1,900000,3600000,10,683,1400000,700000,3500000,400000,1,4.0,6000000,1.6666666666666667,1
0,0,1,3200000,7400000,18,780,4200000,2600000,9000000,2800000,1,2.3125,18600000,2.5135135135135136,2
3,1,0,600000,1100000,8,538,500000,800000,1400000,300000,0,1.8333333333333333,3000000,2.727272727272727,1
1,0,0,5200000,12600000,10,721,1100000,8700000,13900000,3600000,1,2.423076923076923,27300000,2.1666666666666665,2
3,0,1,6400000,15200000,14,467,15500000,9100000,18400000,3200000,0,2.375,46200000,3.039473684210526,0
2,0,0,1000000,2500000,6,551,1700000,200000,3700000,900000,1,2.5,6500000,2.6,1
2,0,0,6800000,14800000,14,803,11300000,3300000,19600000,6600000,1,2.176470588235294,40800000,2.7567567567567566,2
0,1,0,3000000,8400000,10,361,7700000,200000,7300000,1800000,0,2.8,17000000,2.0238095238095237,0
1,0,1,8700000,30700000,6,708,20600000,4500000,27600000,9300000,1,3.528735632183908,62000000,2.019543973941368,2
4,1,1,8800000,20900000,18,766,13500000,15400000,34500000,13100000,1,2.375,76500000,3.660287081339713,2
1,0,1,3900000,11500000,2,464,9300000,5700000,12400000,5100000,0,2.948717948717949,32500000,2.8260869565217392,0
5,1,0,1700000,4300000,2,517,100000,200000,6200000,1600000,0,2.5294117647058822,8100000,1.8837209302325582,1
3,0,1,900000,2300000,6,747,1200000,200000,2900000,600000,1,2.5555555555555554,4900000,2.130434782608696,2
1,0,0,7200000,24700000,6,596,8800000,1400000,21700000,5800000,1,3.4305555555555554,37700000,1.5263157894736843,1
0,1,0,9200000,25400000,2,783,25400000,2000000,19600000,12400000,1,2.760869565217391,59400000,2.338582677165354,2
3,0,0,5700000,19400000,2,335,7400000,10600000,20600000,7100000,1,3.4035087719298245,45700000,2.3556701030927836,0
5,0,1,1100000,2700000,4,889,1900000,1000000,2200000,500000,1,2.4545454545454546,5600000,2.074074074074074,2
2,0,1,1100000,2200000,4,874,1900000,1300000,2100000,900000,1,2.0,6200000,2.8181818181818183,2
0,1,1,6000000,23900000,4,394,6700000,5800000,21900000,4500000,1,3.9833333333333334,38900000,1.6276150627615062,0
2,1,1,8100000,28500000,20,420,1500000,1400000,31800000,10000000,0,3.5185185185185186,44700000,1.568421052631579,0
2,0,1,6500000,25100000,20,848,11500000,8600000,17400000,4400000,1,3.8615384615384616,41900000,1.6693227091633467,2
0,1,1,7600000,17900000,16,788,1700000,7800000,27100000,5900000,1,2.3552631578947367,42500000,2.374301675977654,2
1,1,0,2200000,4900000,8,509,3800000,0,5400000,2900000,0,2.227272727272727,12100000,2.4693877551020407,1
4,1,1,6300000,23900000,6,899,0,11400000,20600000,6700000,1,3.7936507936507935,38700000,1.6192468619246863,2
4,0,1,6700000,15800000,12,466,7500000,4600000,19900000,6600000,0,2.3582089552238807,38600000,2.4430379746835444,0
5,1,1,1300000,4300000,2,595,1300000,500000,2900000,1500000,1,3.3076923076923075,6200000,1.441860465116279,1
1,0,0,2800000,6700000,12,322,1900000,2000000,8600000,2100000,0,2.392857142857143,14600000,2.1791044776119404,0
3,1,0,7000000,18900000,2,691,6300000,7400000,15200000,3900000,1,2.7,32800000,1.7354497354497354,1
3,0,1,8800000,26700000,10,379,10100000,15500000,27000000,9700000,0,3.034090909090909,62300000,2.3333333333333335,0
0,1,0,8900000,25800000,18,531,12400000,3400000,22900000,5400000,0,2.898876404494382,44100000,1.7093023255813953,1
5,0,0,7000000,21800000,4,631,8100000,7100000,14600000,10000000,1,3.1142857142857143,39800000,1.8256880733944953,1
0,1,1,6900000,18600000,10,330,19600000,9400000,16400000,4500000,0,2.6956521739130435,49900000,2.682795698924731,0
5,1,0,9200000,29200000,16,383,17700000,13300000,30400000,5700000,0,3.1739130434782608,67100000,2.297945205479452,0
0,1,1,6100000,19700000,16,678,13700000,2300000,19300000,5500000,1,3.2295081967213113,40800000,2.0710659898477157,1
1,1,1,4400000,14700000,8,894,11400000,6300000,9400000,2400000,1,3.340909090909091,29500000,2.006802721088435,2
4,0,0,9900000,22700000,12,567,28300000,9900000,29700000,5400000,1,2.292929292929293,73300000,3.2290748898678414,1
5,0,0,3900000,14000000,4,708,700000,1800000,15600000,5200000,1,3.58974358974359,23300000,1.6642857142857144,2
3,1,0,6800000,21200000,2,433,10700000,1900000,23200000,6300000,1,3.1176470588235294,42100000,1.9858490566037736,0
4,0,0,3600000,8700000,14,302,6400000,3700000,7800000,4100000,0,2.4166666666666665,22000000,2.528735632183908,0
4,1,0,700000,2600000,14,736,2100000,600000,1900000,400000,1,3.7142857142857144,5000000,1.9230769230769231,2
2,0,1,4000000,8500000,6,323,11200000,1000000,14300000,4100000,0,2.125,30600000,3.6,0
4,1,0,1800000,4100000,12,670,1900000,2900000,4700000,2200000,1,2.2777777777777777,11700000,2.8536585365853657,1
3,0,0,5600000,21000000,12,609,8800000,11000000,15800000,4900000,1,3.75,40500000,1.9285714285714286,1
4,0,0,6800000,24200000,18,349,18800000,0,15800000,9400000,0,3.5588235294117645,44000000,1.8181818181818181,0
5,0,1,600000,1500000,2,319,100000,1100000,2100000,600000,0,2.5,3900000,2.6,0
1,0,0,4200000,16200000,14,391,5800000,2100000,14100000,2600000,0,3.857142857142857,24600000,1.5185185185185186,0
4,0,0,5000000,18700000,10,755,3600000,600000,13000000,2600000,1,3.74,19800000,1.0588235294117647,2
1,0,0,4100000,12200000,6,354,7300000,5600000,16300000,3500000,0,2.975609756097561,32700000,2.680327868852459,0
3,0,1,2200000,8800000,2,877,5000000,1300000,6400000,3100000,1,4.0,15800000,1.7954545454545454,2
1,0,0,3400000,8600000,16,312,6400000,6100000,8400000,3000000,0,2.5294117647058822,23900000,2.7790697674418605,0
0,1,0,7100000,15900000,14,746,9500000,3900000,23500000,8000000,1,2.23943661971831,44900000,2.8238993710691824,2
3,1,0,5800000,19600000,16,313,11100000,8100000,22700000,6300000,0,3.3793103448275863,48200000,2.4591836734693877,0
2,1,0,3400000,12900000,14,857,3400000,2500000,8700000,1900000,1,3.7941176470588234,16500000,1.2790697674418605,2
2,0,0,7700000,18300000,20,504,14600000,500000,18300000,4600000,0,2.3766233766233764,38000000,2.0765027322404372,1
0,1,0,500000,1200000,14,556,900000,0,1800000,500000,1,2.4,3200000,2.6666666666666665,1
2,1,1,5300000,11000000,14,393,6800000,2400000,20500000,5200000,0,2.0754716981132075,34900000,3.172727272727273,0
0,1,0,4700000,14400000,14,881,11000000,6100000,17600000,2400000,1,3.0638297872340425,37100000,2.576388888888889,2
2,1,1,4300000,12200000,14,719,5100000,2600000,14000000,5700000,1,2.8372093023255816,27400000,2.2459016393442623,2
